DepressionID	MaximumArea	MaximumVolume	MaximumDepth	MinimumContributingArea	CurveNumber
30157	56475	20275.2	0.85	159111	100
30158	9162	1823.76	0.5	35703	100
30159	5571	979.02	0.44	17289	100
30160	3375	582.84	0.35	19161	100
30163	4995	480.24	0.21	48573	100
30169	34137	8026.56	0.7	138564	100
30171	8496	3176.46	0.75	26793	100
30174	3564	400.86	0.22	27972	100
30176	27864	6713.73	0.44	79101	100
30181	7974	1073.43	0.34	35145	100
30187	24885	6961.86	0.72	64557	100
30188	57177	27286.83	0.95	148680	100
30189	5913	1035.9	0.36	35424	100
30190	3771	520.47	0.33	95139	100
30196	32103	10127.61	0.69	72216	100
30197	1163745	581721.75	1.3	3021228	100
30199	91143	32669.73	0.64	336105	100
30201	37710	14028.93	0.87	129159	100
30203	11232	8751.24	1.49	65763	100
30204	801	54.54	0.2	8973	100
30209	2898	351.27	0.25	14517	100
30211	2511	411.39	0.42	6246	100
30212	18837	1629.9	0.47	84060	100
30217	2511	342.54	0.29	13347	100
30225	11637	1039.77	0.28	60210	100
30231	7713	446.67	0.25	153954	100
30232	2061	133.11	0.21	45999	100
30238	3987	388.44	0.24	19530	100
30241	1719	179.37	0.27	33327	100
30248	6075	572.31	0.34	33363	100
30254	1665	162.45	0.22	25074	100
30258	74862	15077.16	0.54	196263	100
30264	2889	454.32	0.39	23220	100
30265	2547	330.03	0.37	18099	100
30276	5130	584.55	0.46	49005	100
30277	16911	4557.96	0.63	47853	100
30279	1935	233.91	0.35	8397	100
30280	90477	54839.61	1.33	266211	100
30283	4014	501.03	0.27	26388	100
30287	31716	6339.78	0.5	111609	100
30288	3078	431.82	0.29	72018	100
30289	23292	5574.96	0.53	66267	100
30290	3033	456.84	0.43	13878	100
30294	4059	485.46	0.29	10548	100
30299	14382	2251.08	0.45	176409	100
30300	882	81.81	0.27	6507	100
30303	6930	822.42	0.32	37620	100
30310	1755	189.9	0.39	20034	100
30318	3411	395.46	0.3	8010	100
30323	71235	32866.83	0.93	175248	100
30330	46566	13183.83	0.72	129042	100
30337	5967	503.01	0.3	35604	100
30339	30159	7030.44	0.62	90810	100
30343	1476	205.11	0.34	13752	100
30344	2151	309.78	0.28	11412	100
30346	1359	190.35	0.33	5805	100
30352	4239	830.52	0.53	21996	100
30354	4248	119.88	0.19	157671	100
30358	37989	8607.87	0.53	218907	100
30365	1197	101.88	0.22	7110	100
30368	6435	1260	0.45	24345	100
30370	2160	214.2	0.27	14787	100
30372	630	52.92	0.42	10611	100
30376	8172	2246.67	0.59	23769	100
30378	3798	87.12	0.21	37710	100
30381	16362	4250.07	0.66	144117	100
30382	824625	658010.97	1.65	1550673	100
30385	5283	447.03	0.28	105984	100
30387	3222	371.52	0.28	108315	100
30388	42264	15281.46	1.1	148482	100
30390	17082	4586.94	0.53	119916	100
30391	9792	1589.49	0.44	95040	100
30392	2286	253.62	0.3	7587	100
30397	84753	32038.83	0.81	235701	100
30398	1863	243.81	0.24	13203	100
30399	2862	340.11	0.26	18027	100
30400	19206	3417.03	0.46	68670	100
30402	1917	120.24	0.24	45036	100
30403	1386	124.2	0.21	7047	100
30405	2385	290.07	0.26	10989	100
30407	5049	865.62	0.43	16020	100
30408	4005	747.72	0.45	22176	100
30411	1305	103.14	0.2	9297	100
30413	3339	538.47	0.43	19053	100
30420	77463	55175.58	1.37	236907	100
30423	36153	13950.72	0.85	182286	100
30431	3816	476.91	0.29	27972	100
30435	10008	1695.87	0.48	173970	100
30436	4635	447.48	0.26	30546	100
30443	1395	122.04	0.19	12006	100
30445	22545	9235.8	0.96	53343	100
30454	1998	189.72	0.24	33039	100
30457	82458	61411.5	1.8	152046	100
30466	3285	369.99	0.32	12771	100
30468	217548	111419.19	1.1	723771	100
30475	243990	114100.92	1.19	744822	100
30479	5589	1155.33	0.43	43713	100
30482	25515	8417.16	0.83	162648	100
30487	504	35.1	0.24	5211	100
30492	86751	14087.79	0.52	494928	100
30493	1017	103.05	0.67	56718	100
30497	25416	11032.74	0.91	113013	100
30499	6363	321.3	0.23	220464	100
30500	1575	162.9	0.29	10611	100
30501	4500	558.81	0.28	48348	100
30502	1467	159.48	0.26	4761	100
30508	1926	227.25	0.23	11799	100
