DepressionID	Ac	Am	Nds	Ndsds	Nus	Nuscd	OutletID	Sdus	Shrn	Strn	USAc	USVm	Vm	p0.001	p0.01	p0.02	p0.03	p0.04	p0.05	p0.06	p0.07	p0.08	p0.09	p0.1	p0.11	p0.12	p0.13	p0.14	p0.15	p0.16	p0.17	p0.18	p0.19	p0.2	p0.21	p0.22	p0.23	p0.24	p0.25	p0.26	p0.27	p0.28	p0.29	p0.3	p0.31	p0.32	p0.33	p0.34	p0.35	p0.36	p0.37	p0.38	p0.39	p0.4	p0.41	p0.42	p0.43	p0.44	p0.45	p0.46	p0.47	p0.48	p0.49	p0.5	p0.51	p0.52	p0.53	p0.54	p0.55	p0.56	p0.57	p0.58	p0.59
116287	19800	5535	1	4	0	0	[117000]	0.0	1	1	0.0	0.0	515.79	19.8	198.0	396.0	594.0	792.0	990.0	1188.0	1386.0	1584.0	1782.0	1980.0	2178.0	2376.0	2574.0	2772.0	2970.0	3168.0	3366.0	3564.0	3762.0	3960.0	4158.0	4356.0	4554.0	4752.0	4950.0	5148.0	5346.0	5544.0	5742.0	5940.0	6138.0	6336.0	6534.0	6732.0	6930.0	7128.0	7326.0	7524.0	7722.0	7920.0	8118.0	8316.0	8514.0	8712.0	8910.0	9108.0	9306.0	9504.0	9702.0	9900.0	10098.0	10296.0	10494.0	10692.0	10890.0	11088.0	11286.0	11484.0	11682.0
30276	49005	5130	1	11	1	1	[117000]	0.0195658914729	1	1	23220.0	454.32	584.55	0.0	0.0	10.08	242.28	474.48	706.68	938.88	1171.08	1403.28	1635.48	1867.68	2099.88	2332.08	2564.28	2796.48	3028.68	3260.88	3493.08	3725.28	3957.48	4189.68	4421.88	4654.08	4886.28	5118.48	5350.68	5582.88	5815.08	6047.28	6279.48	6511.68	6743.88	6976.08	7208.28	7440.48	7672.68	7904.88	8137.08	8369.28	8601.48	8833.68	9065.88	9298.08	9530.28	9762.48	9994.68	10226.88	10459.08	10691.28	10923.48	11155.68	11387.88	11620.08	11852.28	12084.48	12316.68	12548.88	12781.08	13013.28	13245.48
30277	47853	16911	1	10	0	0	[117000]	0.0	1	1	0.0	0.0	4557.96	47.853	478.53	957.06	1435.59	1914.12	2392.65	2871.18	3349.71	3828.24	4306.77	4785.3	5263.83	5742.36	6220.89	6699.42	7177.95	7656.48	8135.01	8613.54	9092.07	9570.6	10049.13	10527.66	11006.19	11484.72	11963.25	12441.78	12920.31	13398.84	13877.37	14355.9	14834.43	15312.96	15791.49	16270.02	16748.55	17227.08	17705.61	18184.14	18662.67	19141.2	19619.73	20098.26	20576.79	21055.32	21533.85	22012.38	22490.91	22969.44	23447.97	23926.5	24405.03	24883.56	25362.09	25840.62	26319.15	26797.68	27276.21	27754.74	28233.27
30279	8397	1935	1	3	0	0	[117000]	0.0	1	1	0.0	0.0	233.91	8.397	83.97	167.94	251.91	335.88	419.85	503.82	587.79	671.76	755.73	839.7	923.67	1007.64	1091.61	1175.58	1259.55	1343.52	1427.49	1511.46	1595.43	1679.4	1763.37	1847.34	1931.31	2015.28	2099.25	2183.22	2267.19	2351.16	2435.13	2519.1	2603.07	2687.04	2771.01	2854.98	2938.95	3022.92	3106.89	3190.86	3274.83	3358.8	3442.77	3526.74	3610.71	3694.68	3778.65	3862.62	3946.59	4030.56	4114.53	4198.5	4282.47	4366.44	4450.41	4534.38	4618.35	4702.32	4786.29	4870.26	4954.23
30280	266211	90477	1	11	1	1	[117000]	0.0256641942009	1	1	13347.0	342.54	54839.61	0.0	0.0	0.0	57.87	191.34	324.81	458.28	591.75	725.22	858.69	992.16	1125.63	1259.1	1392.57	1526.04	1659.51	1792.98	1926.45	2059.92	2193.39	2326.86	2460.33	2593.8	2727.27	2860.74	2994.21	3127.68	3261.15	3394.62	3528.09	3661.56	3795.03	3928.5	4061.97	4195.44	4328.91	4462.38	4595.85	4729.32	4862.79	4996.26	5129.73	5263.2	5396.67	5530.14	5663.61	5797.08	5930.55	6064.02	6197.49	6330.96	6464.43	6597.9	6731.37	6864.84	6998.31	7131.78	7265.25	7398.72	7532.19
30283	26388	4014	1	4	0	0	[117000]	0.0	1	1	0.0	0.0	501.03	26.388	263.88	527.76	791.64	1055.52	1319.4	1583.28	1847.16	2111.04	2374.92	2638.8	2902.68	3166.56	3430.44	3694.32	3958.2	4222.08	4485.96	4749.84	5013.72	5277.6	5541.48	5805.36	6069.24	6333.12	6597.0	6860.88	7124.76	7388.64	7652.52	7916.4	8180.28	8444.16	8708.04	8971.92	9235.8	9499.68	9763.56	10027.44	10291.32	10555.2	10819.08	11082.96	11346.84	11610.72	11874.6	12138.48	12402.36	12666.24	12930.12	13194.0	13457.88	13721.76	13985.64	14249.52	14513.4	14777.28	15041.16	15305.04	15568.92
30287	111609	31716	1	3	2	57	[117000]	3.93134188469	29	3	6657462.0	1288013.76	6339.78	0.0	0.0	26.73	290.61	554.49	818.37	1082.25	1346.13	3861.495	8512.245	13294.26	23220.99	39445.2	56621.925	73839.3525	91056.78	108274.2075	125491.635	142709.0625	159926.49	177143.9175	194361.345	211578.7725	228796.2	246013.6275	263231.055	280448.4825	297665.91	314883.3375	332100.765	355294.2825	387344.115	419393.9475	451443.78	483493.6125	515543.445	547593.2775	579643.11	611692.9425	643742.775	675792.6075	708306.12	741116.1825	773926.245	806736.3075	839546.37	872356.4325	905166.495	937976.5575	970786.62	1003596.6825	1036406.745	1069216.8075	1102026.87	1134836.9325	1167646.995	1200457.0575	1233267.12	1266077.1825	1298887.245
30288	72018	3078	1	11	0	0	[117000]	0.0	1	1	0.0	0.0	431.82	72.018	720.18	1440.36	2160.54	2880.72	3600.9	4321.08	5041.26	5761.44	6481.62	7201.8	7921.98	8642.16	9362.34	10082.52	10802.7	11522.88	12243.06	12963.24	13683.42	14403.6	15123.78	15843.96	16564.14	17284.32	18004.5	18724.68	19444.86	20165.04	20885.22	21605.4	22325.58	23045.76	23765.94	24486.12	25206.3	25926.48	26646.66	27366.84	28087.02	28807.2	29527.38	30247.56	30967.74	31687.92	32408.1	33128.28	33848.46	34568.64	35288.82	36009.0	36729.18	37449.36	38169.54	38889.72	39609.9	40330.08	41050.26	41770.44	42490.62
30289	66267	23292	1	4	1	56	[117000]	3.91235484513	28	3	6631074.0	1287512.73	5574.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2251.485	6638.355	11156.49	20819.34	36779.67	53692.515	70646.0625	87599.61	104553.1575	121506.705	138460.2525	155413.8	172367.3475	189320.895	206274.4425	223227.99	240181.5375	257135.085	274088.6325	291042.18	307995.7275	324949.275	347878.9125	379664.865	411450.8175	443236.77	475022.7225	506808.675	538594.6275	570380.58	602166.5325	633952.485	665738.4375	697988.07	730534.2525	763080.435	795626.6175	828172.8	860718.9825	893265.165	925811.3475	958357.53	990903.7125	1023449.895	1055996.0775	1088542.26	1121088.4425	1153634.625	1186180.8075	1218726.99	1251273.1725	1283819.355
30290	13878	3033	1	9	1	1	[117000]	0.0952492006771	1	1	47853.0	4557.96	456.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	227.34	705.87	1184.4	1662.93	2141.46	2619.99	3098.52	3577.05	4055.58	4534.11	5012.64	5491.17	5969.7	6448.23	6926.76	7405.29	7883.82	8362.35	8840.88	9319.41	9797.94	10276.47	10755.0	11233.53	11712.06	12190.59	12669.12	13147.65	13626.18	14104.71	14583.24	15061.77	15540.3	16018.83	16497.36	16975.89	17454.42	17932.95	18411.48	18890.01	19368.54	19847.07	20325.6	20804.13	21282.66	21761.19	22239.72	22718.25	23196.78	23675.31
