	DepressionID	P
265	30119	0.1
266	30283	0.1
267	30400	0.1
268	30287	0.1
269	30405	0.1
270	30124	0.1
271	30265	0.1
272	30479	0.1
273	30323	0.1
274	116933	0.1
275	116599	0.1
276	30105	0.1
277	30174	0.1
278	30238	0.1
279	30500	0.1
280	30346	0.1
281	117041	0.1
282	116679	0.1
283	30290	0.1
284	30512	0.1
285	116287	0.1
286	30062	0.1
287	30129	0.1
288	30492	0.1
289	30032	0.1
290	30413	0.1
291	30390	0.1
292	166437	0.1
293	30143	0.1
294	30475	0.1
295	30523	0.1
296	30140	0.1
297	30354	0.1
298	30120	0.1
299	30196	0.1
300	30016	0.1
301	30435	0.1
302	30155	0.1
303	30051	0.1
304	30277	0.1
305	30248	0.1
306	166970	0.1
307	30358	0.1
308	30370	0.1
309	30513	0.1
310	30378	0.1
311	116776	0.1
312	30127	0.1
313	116031	0.1
314	30092	0.1
315	30099	0.1
316	117109	0.1
317	166971	0.1
318	117124	0.1
319	116992	0.1
320	30176	0.1
321	30024	0.1
322	30121	0.1
323	30158	0.1
324	30397	0.1
325	30299	0.1
326	30254	0.1
327	30343	0.1
328	30365	0.1
329	30339	0.1
330	29946	0.1
331	30231	0.1
332	30411	0.1
333	30138	0.1
334	30212	0.1
335	30408	0.1
336	30502	0.1
337	30136	0.1
338	30398	0.1
339	29968	0.1
340	30466	0.1
341	30082	0.1
342	30225	0.1
343	30510	0.1
344	30392	0.1
345	29976	0.1
346	30385	0.1
347	30522	0.1
348	116721	0.1
349	30493	0.1
350	30403	0.1
351	118120	0.1
352	30300	0.1
353	30145	0.1
354	30344	0.1
355	30100	0.1
356	30501	0.1
357	30232	0.1
358	30075	0.1
359	30337	0.1
360	30002	0.1
361	29981	0.1
362	30279	0.1
363	30391	0.1
364	30211	0.1
365	30159	0.1
366	30018	0.1
367	30510	0.11
368	30508	0.11
369	30397	0.11
370	30289	0.11
371	30468	0.11
372	30519	0.11
373	30258	0.11
374	30511	0.11
375	30190	0.11
376	30181	0.11
377	30232	0.11
378	30524	0.11
379	30241	0.11
380	30564	0.11
381	30436	0.11
382	30534	0.11
383	30532	0.11
384	30265	0.11
385	116031	0.11
386	116599	0.11
387	116721	0.11
388	30526	0.11
389	30500	0.11
390	30346	0.11
391	117041	0.11
392	116679	0.11
393	30408	0.11
394	116287	0.11
395	30159	0.11
396	30120	0.11
397	30212	0.11
398	30140	0.11
399	30176	0.11
400	30196	0.11
401	117000	0.11
402	30530	0.11
403	30163	0.11
404	30513	0.11
405	116776	0.11
406	30248	0.11
407	30402	0.11
408	117124	0.11
409	30016	0.11
410	30254	0.11
411	30552	0.11
412	29968	0.11
413	30523	0.11
414	30512	0.11
415	30502	0.11
416	30370	0.11
417	116992	0.11
418	30525	0.11
419	30466	0.11
420	30522	0.11
421	30354	0.11
422	118120	0.11
423	30211	0.11
424	30225	0.11
425	116933	0.11
426	117109	0.11
427	29981	0.11
428	30517	0.11
429	30024	0.11
430	30279	0.11
431	166435	0.11
432	30119	0.11
433	29991	0.11
434	166437	0.11
435	166908	0.11
436	166970	0.11
437	166971	0.11
438	30337	0.11
439	30482	0.11
440	30407	0.11
441	30378	0.11
442	30330	0.11
443	30475	0.11
444	30128	0.11
445	30199	0.11
446	30283	0.11
447	30400	0.11
448	29946	0.11
449	30454	0.11
450	30405	0.11
451	30124	0.11
452	30155	0.11
453	30092	0.11
454	30158	0.11
455	30105	0.11
456	30174	0.11
457	30344	0.11
458	30018	0.11
459	30499	0.11
460	30290	0.11
461	30487	0.11
462	30062	0.11
463	30129	0.11
464	30032	0.11
465	30413	0.11
466	30390	0.11
467	30143	0.11
468	29976	0.11
469	30145	0.11
470	30435	0.11
471	30051	0.11
472	30277	0.11
473	30358	0.11
474	30287	0.11
475	30365	0.11
476	30100	0.11
477	30127	0.11
478	30479	0.11
479	30099	0.11
480	30323	0.11
481	30303	0.11
482	30299	0.11
483	30343	0.11
484	30339	0.11
485	30231	0.11
486	30138	0.11
487	30019	0.11
488	30497	0.11
489	30136	0.11
490	30398	0.11
491	30423	0.11
492	30443	0.11
493	30154	0.11
494	30082	0.11
495	30392	0.11
496	30385	0.11
497	30493	0.11
498	30403	0.11
499	30300	0.11
500	30238	0.11
501	30157	0.11
502	30501	0.11
503	30131	0.11
504	30075	0.11
505	30002	0.11
506	30492	0.11
507	30391	0.11
508	30121	0.11
509	30411	0.11
510	30510	0.12
511	30508	0.12
512	30397	0.12
513	30289	0.12
514	30468	0.12
515	116679	0.12
516	30258	0.12
517	30511	0.12
518	30190	0.12
519	30181	0.12
520	30232	0.12
521	30524	0.12
522	30241	0.12
523	30564	0.12
524	30436	0.12
525	30534	0.12
526	30532	0.12
527	30265	0.12
528	116031	0.12
529	116599	0.12
530	116721	0.12
531	30526	0.12
532	30500	0.12
533	30346	0.12
534	117041	0.12
535	30519	0.12
536	30408	0.12
537	116287	0.12
538	30159	0.12
539	117262	0.12
540	30120	0.12
541	30212	0.12
542	30140	0.12
543	30176	0.12
544	30196	0.12
545	117000	0.12
546	30530	0.12
547	30163	0.12
548	30513	0.12
549	116776	0.12
550	117379	0.12
551	30248	0.12
552	30402	0.12
553	117124	0.12
554	30016	0.12
555	30254	0.12
556	30552	0.12
557	29968	0.12
558	30523	0.12
559	30512	0.12
560	30502	0.12
561	30370	0.12
562	116992	0.12
563	30525	0.12
564	30466	0.12
565	30522	0.12
566	30354	0.12
567	118120	0.12
568	30211	0.12
569	30225	0.12
570	116933	0.12
571	117109	0.12
572	29981	0.12
573	30517	0.12
574	30024	0.12
575	30279	0.12
576	166435	0.12
577	30119	0.12
578	30431	0.12
579	30445	0.12
580	166908	0.12
581	166970	0.12
582	166971	0.12
583	30337	0.12
584	30482	0.12
585	30407	0.12
586	30378	0.12
587	30330	0.12
588	30475	0.12
589	30128	0.12
590	30199	0.12
591	30283	0.12
592	30400	0.12
593	29946	0.12
594	30454	0.12
595	30032	0.12
596	30124	0.12
597	30155	0.12
598	30092	0.12
599	30158	0.12
600	30105	0.12
601	30174	0.12
602	30344	0.12
603	30018	0.12
604	30499	0.12
605	30290	0.12
606	30487	0.12
607	30062	0.12
608	30129	0.12
609	30405	0.12
610	30413	0.12
611	30390	0.12
612	166437	0.12
613	30143	0.12
614	29976	0.12
615	30145	0.12
616	30435	0.12
617	30051	0.12
618	30277	0.12
619	30358	0.12
620	30287	0.12
621	30365	0.12
622	30100	0.12
623	30127	0.12
624	30479	0.12
625	30099	0.12
626	29991	0.12
627	30323	0.12
628	30303	0.12
629	30299	0.12
630	30343	0.12
631	30339	0.12
632	30231	0.12
633	30138	0.12
634	30019	0.12
635	30497	0.12
636	30136	0.12
637	30398	0.12
638	30423	0.12
639	30443	0.12
640	30154	0.12
641	30082	0.12
642	30392	0.12
643	30385	0.12
644	30493	0.12
645	30403	0.12
646	30300	0.12
647	30238	0.12
648	30157	0.12
649	30501	0.12
650	30131	0.12
651	30075	0.12
652	30002	0.12
653	30492	0.12
654	30391	0.12
655	30121	0.12
656	30411	0.12
657	30510	0.13
658	30508	0.13
659	30397	0.13
660	30289	0.13
661	30468	0.13
662	116679	0.13
663	30258	0.13
664	30511	0.13
665	30190	0.13
666	30181	0.13
667	30232	0.13
668	30524	0.13
669	30241	0.13
670	30564	0.13
671	30436	0.13
672	30534	0.13
673	30532	0.13
674	30265	0.13
675	116031	0.13
676	116599	0.13
677	116721	0.13
678	30526	0.13
679	30500	0.13
680	30346	0.13
681	117041	0.13
682	30519	0.13
683	30408	0.13
684	116287	0.13
685	117262	0.13
686	30120	0.13
687	30212	0.13
688	30140	0.13
689	30176	0.13
690	30121	0.13
691	30196	0.13
692	117000	0.13
693	30530	0.13
694	30163	0.13
695	30513	0.13
696	116776	0.13
697	117379	0.13
698	30248	0.13
699	30575	0.13
700	117124	0.13
701	30016	0.13
702	30254	0.13
703	30552	0.13
704	29968	0.13
705	30523	0.13
706	30512	0.13
707	30502	0.13
708	30370	0.13
709	116992	0.13
710	30525	0.13
711	30466	0.13
712	30522	0.13
713	30354	0.13
714	118120	0.13
715	30211	0.13
716	30225	0.13
717	116933	0.13
718	117109	0.13
719	29981	0.13
720	30517	0.13
721	30024	0.13
722	30279	0.13
723	166435	0.13
724	30119	0.13
725	30431	0.13
726	30445	0.13
727	166908	0.13
728	166970	0.13
729	166971	0.13
730	30337	0.13
731	30482	0.13
