	Ar	CasTime	FAr	FQr	Ff	Fr	Fs	Fv	Nf	Nhw	Niso	Nms	Nout	Nr	P	Qr	Qt	RecTime	SolTime	TotTime	Vs
45	25804818.0	0.000999927520752	1.0	0.70958019545	1.0	1.0	0.29041980455	1.0	224	121	0	102	1	224	0.45	8239764.51	11612168.1	0.0350000858307	0.00499987602234	0.0420000553131	3372403.59
46	25804818.0	0.00100016593933	1.0	0.715893669462	1.0	1.0	0.284106330538	1.0	224	121	0	102	1	224	0.46	8497812.69	11870216.28	0.039999961853	0.00600004196167	0.0490000247955	3372403.59
47	25804818.0	0.000999927520752	1.0	0.721938485006	1.0	1.0	0.278061514994	1.0	224	121	0	102	1	224	0.47	8755860.87	12128264.46	0.0320000648499	0.00600004196167	0.039999961853	3372403.59
48	25804818.0	0.00300002098083	1.0	0.727731433235	1.0	1.0	0.272268566765	1.0	224	121	0	102	1	224	0.48	9013909.05	12386312.64	0.0350000858307	0.00600004196167	0.0440001487732	3372403.59
49	25804818.0	0.0019998550415	1.0	0.733287934597	1.0	1.0	0.266712065403	1.0	224	121	0	102	1	224	0.49	9271957.23	12644360.82	0.0340001583099	0.00600004196167	0.0420000553131	3372403.59
50	25804818.0	0.000999927520752	1.0	0.738622175905	1.0	1.0	0.261377824095	1.0	224	121	0	102	1	224	0.5	9530005.41	12902409.0	0.0329999923706	0.00300002098083	0.0369999408722	3372403.59
51	25804818.0	0.00200009346008	1.0	0.74374723128	1.0	1.0	0.25625276872	1.0	224	121	0	102	1	224	0.51	9788053.59	13160457.18	0.0339999198914	0.00399994850159	0.0409998893738	3372403.59
52	25804818.0	0.0	1.0	0.74867516914	1.0	1.0	0.25132483086	1.0	224	121	0	102	1	224	0.52	10046101.77	13418505.36	0.0329999923706	0.00300002098083	0.0369999408722	3372403.59
53	25804818.0	0.0019998550415	1.0	0.75341714708	1.0	1.0	0.24658285292	1.0	224	121	0	102	1	224	0.53	10304149.95	13676553.54	0.0340001583099	0.00300002098083	0.0400002002716	3372403.59
54	25804818.0	0.0019998550415	1.0	0.757983496209	1.0	1.0	0.242016503791	1.0	224	121	0	102	1	224	0.54	10562198.13	13934601.72	0.0410001277924	0.00300002098083	0.0460000038147	3372403.59
55	25804818.0	0.0	1.0	0.762383796278	1.0	1.0	0.237616203722	1.0	224	121	0	102	1	224	0.55	10820246.31	14192649.9	0.0329999923706	0.00599980354309	0.039999961853	3372403.59
56	25804818.0	0.0019998550415	1.0	0.766626942773	1.0	1.0	0.233373057227	1.0	224	121	0	102	1	224	0.56	11078294.49	14450698.08	0.0440001487732	0.00500011444092	0.0520000457764	3372403.59
57	25804818.0	0.0019998550415	1.0	0.770721206934	1.0	1.0	0.229278793066	1.0	224	121	0	102	1	224	0.57	11336342.67	14708746.26	0.0380001068115	0.007000207901	0.047000169754	3372403.59
58	25804818.0	0.0019998550415	1.0	0.774674289574	1.0	1.0	0.225325710426	1.0	224	121	0	102	1	224	0.58	11594390.85	14966794.44	0.0450000762939	0.00399994850159	0.0520000457764	3372403.59
59	25804818.0	0.00200009346008	1.0	0.778493369411	1.0	1.0	0.221506630589	1.0	224	121	0	102	1	224	0.59	11852439.03	15224842.62	0.0339999198914	0.00699996948242	0.0439999103546	3372403.59
